Kanji,Reading,Meaning,VocabScore,FillingScore
渡る,わたる,to go across,0,0
涼しい,すずしい,Refreshing,0,0
頭,あたま,head,0,0
男,おとこ,Man,0,0
大切,たいせつ,important,0,0
教える,おしえる,"to teach, to tell",0,0
始まる,はじまる,to begin,0,0
白,しろ,White,0,0
九,きゅう,Nine,0,0
下,した,Below,0,0
痛い,いたい,painful,0,0
部屋,へや,room,0,0
水曜日,すいようび,Wednesday,0,0
秋,あき,autumn,0,0
厚い,あつい,"kind, deep, thick",0,0
少し,すこし,Few,0,0
野菜,やさい,vegetable,0,0
何,なに,what,0,0
花瓶,かびん,a vase,0,0
貼る,はる,to stick,0,0
お風呂,おふろ,Bath,0,0
疲れる,つかれる,to get tired,0,0
悪い,わるい,bad,0,0
紙,かみ,paper,0,0
紅茶,こうちゃ,black tea,0,0
風邪,かぜ,a cold,0,0
眼鏡,めがね,glasses,0,0
好き,すき,Likeable,0,0
男の子,おとこのこ,Boy,0,0
忙しい,いそがしい,"busy, irritated",0,0
売る,うる,to sell,0,0
要る,いる,to need,0,0
豚肉,ぶたにく,pork,0,0
歩く,あるく,to walk,0,0
お茶,おちゃ,green tea,0,0
荷物,にもつ,luggage,0,0
返す,かえす,to return something,0,0
脱ぐ,ぬぐ,to take off clothes,0,0
廊下,ろうか,corridor,0,0
鉛筆,えんぴつ,pencil,0,0
公園,こうえん,Park,0,0
五,ご,Five,0,0
六日,むいか,"six days, sixth day of the month",0,0
映画,えいが,movie,0,0
お姉さん,おねえさん,(honorable) older sister,0,0
机,つくえ,desk,0,0
絵,え,picture,0,0
暖かい,あたたかい,warm,0,0
締める,しめる,to tie,0,0
休み,やすみ,"rest,holiday",0,0
甘い,あまい,sweet,0,0
台所,だいどころ,kitchen,0,0
多い,おおい,many,0,0
曇る,くもる,"to become cloudy, to become dim",0,0
半分,はんぶん,half minute,0,0
本棚,ほんだな,bookshelves,0,0
五つ,いつつ,five,0,0
新しい,あたらしい,new,0,0
雑誌,ざっし,Magazine,0,0
番号,ばんごう,number,0,0
千,せん,Thousand,0,0
昨夜,ゆうべ,last night,0,0
九日,ここのか,"nine days, ninth day",0,0
動物,どうぶつ,animal,0,0
兄弟,きょうだい,(humble) siblings,0,0
北,きた,North,0,0
問題,もんだい,problem,0,0
弱い,よわい,weak,0,0
分かる,わかる,to be understood,0,0
住む,すむ,to live in,0,0
仕事,しごと,Job,0,0
兄,あに,(humble) older brother,0,0
重い,おもい,Heavy,0,0
来月,らいげつ,next month,0,0
お菓子,おかし,"sweets, candy",0,0
使う,つかう,to use,0,0
一,いち,one,0,0
丸い,まるい,"round,circular",0,0
危ない,あぶない,dangerous,0,0
口,くち,"mouth, opening",0,0
答える,こたえる,to answer,0,0
万年筆,まんねんひつ,fountain pen,0,0
辺,へん,area,0,0
今年,ことし,this year,0,0
十日,とおか,"ten days,the tenth day",0,0
毎週,まいしゅう,every week,0,0
赤,あか,red,0,0
お皿,おさら,"plate, dish",0,0
大勢,おおぜい,great number of people,0,0
鳴く,なく,"animal noise. to chirp, roar or croak etc.",0,0
死ぬ,しぬ,to die,0,0
一日,いちにち,first of the month,0,0
先月,せんげつ,last month,0,0
交番,こうばん,police box,0,0
初めて,はじめて,for the first time,0,0
山,やま,mountain,0,0
車,くるま,"car, vehicle",0,0
吸う,すう,"to smoke, to suck",0,0
病気,びょうき,illness,0,0
お弁当,おべんとう,boxed lunch,0,0
聞く,きく,"to hear, to listen to, to ask",0,0
七,なな,Seven,0,0
右,みぎ,right side,0,0
弟,おとうと,younger brother,0,0
歯,は,tooth,0,0
飛行機,ひこうき,aeroplane,0,0
南,みなみ,south,0,0
行く,いく,to go,0,0
川,かわ,River,0,0
薄い,うすい,"thin,weak",0,0
登る,のぼる,to climb,0,0
結構,けっこう,"splendid, enough",0,0
教室,きょうしつ,Classroom,0,0
小さい,ちいさい,little,0,0
辞書,じしょ,Dictionary,0,0
子供,こども,Child,0,0
会社,かいしゃ,Company,0,0
晴れる,はれる,to be sunny,0,0
肉,にく,meat,0,0
汚い,きたない,Dirty,0,0
忘れる,わすれる,to forget,0,0
難しい,むずかしい,difficult,0,0
引く,ひく,to pull,0,0
外,そと,Outside,0,0
両親,りょうしん,both parents,0,0
背,せ,"height, stature",0,0
勤める,つとめる,to work for someone,0,0
服,ふく,clothes,0,0
二十日,はつか,"twenty days,twentieth",0,0
寒い,さむい,Cold,0,0
字引,じびき,Dictionary,0,0
雨,あめ,rain,0,0
晩御飯,ばんごはん,evening meal,0,0
話す,はなす,to speak,0,0
