SOILCODE,SNAM,KS0,DEPTH0,POROSITY0,FC0,P_INDEX0,RM0,WP0,B_DENSITY0,SAND0,CLAY0,SILT0,USLE_K0,INTERFLOW_SCALE_FACTOR0,KS1,DEPTH1,POROSITY1,FC1,P_INDEX1,RM1,WP1,B_DENSITY1,SAND1,CLAY1,SILT1,USLE_K1,INTERFLOW_SCALE_FACTOR1,KS2,POROSITY2,FC2,P_INDEX2,RM2,WP2,B_DENSITY2,SAND2,CLAY2,SILT2,USLE_K2,INTERFLOW_SCALE_FACTOR2,TEXTURE,HG
19,BNGSIL,5.59,10,0.501,0.284,4.98,0.015,0.135,1.3,29,18,53,0.38,1,5.59,100,0.501,0.284,4.98,0.015,0.135,1.3,29,18,53,0.38,1,2.7525,0.3758,0.213,3.735,0.0113,0.1013,1.0925,18,26,30,0.285,1,4,2
20,BNGSILT,6.32,10,0.501,0.284,4.98,0.015,0.135,1.32,34,18,48,0.38,1,6.32,100,0.501,0.284,4.98,0.015,0.135,1.32,34,18,48,0.38,1,2.8725,0.3758,0.213,3.735,0.0113,0.1013,1.0925,24,20,29,0.285,1,4,2
21,BOKSL,19.69,10,0.453,0.19,4.5,0.041,0.085,1.1,59,9,32,0.13,1,19.69,100,0.453,0.19,4.5,0.041,0.085,1.1,59,9,32,0.13,1,25.78,0.302,0.1267,3,0.0273,0.0567,1,57,2,6,0.0867,1,3,3
22,BOOLST,43.92,10,0.437,0.105,3.86,0.035,0.047,1.34,65,6,29,0.04,1,43.92,100,0.437,0.105,3.86,0.035,0.047,1.34,65,6,29,0.04,1,24.8617,0.3642,0.0875,3.2167,0.0292,0.0392,1.2217,39,17,27,0.0333,1,2,2
23,BOOS,43.92,10,0.437,0.062,3.39,0.02,0.024,1.34,65,6,29,0.02,1,43.92,100,0.437,0.062,3.39,0.02,0.024,1.34,65,6,29,0.02,1,24.8617,0.3642,0.0517,2.825,0.0167,0.02,1.2217,39,17,27,0.0167,1,1,2
24,BOOSL,43.92,10,0.453,0.19,4.5,0.041,0.085,1.34,65,6,29,0.13,1,43.92,100,0.453,0.19,4.5,0.041,0.085,1.34,65,6,29,0.13,1,24.8617,0.3775,0.1583,3.75,0.0342,0.0708,1.2217,39,17,27,0.1083,1,3,2
25,BOOSLT,43.92,10,0.453,0.19,4.5,0.041,0.085,1.34,65,6,29,0.13,1,43.92,100,0.453,0.19,4.5,0.041,0.085,1.34,65,6,29,0.13,1,24.8617,0.3775,0.1583,3.75,0.0342,0.0708,1.2217,39,17,27,0.1083,1,3,2
26,BRRSL,24.63,10,0.453,0.19,4.5,0.041,0.085,1.3,68,12,20,0.13,1,24.63,100,0.453,0.19,4.5,0.041,0.085,1.3,68,12,20,0.13,1,19.4117,0.3775,0.1583,3.75,0.0342,0.0708,1.2217,35,19,28,0.1083,1,3,3
27,BRRSLH,50.88,10,0.453,0.19,4.5,0.041,0.085,1.19,78,8,14,0.13,1,50.88,100,0.453,0.19,4.5,0.041,0.085,1.19,78,8,14,0.13,1,34.5733,0.3775,0.1583,3.75,0.0342,0.0708,1.1917,57,15,11,0.1083,1,3,3
28,BRRSLT,72.29,10,0.453,0.19,4.5,0.041,0.085,1.3,86,4,10,0.13,1,72.29,100,0.453,0.19,4.5,0.041,0.085,1.3,86,4,10,0.13,1,35.836,0.3624,0.152,3.6,0.0328,0.068,1.172,40,14,24,0.104,1,3,3
29,BRTL,2.95,10,0.463,0.232,5.77,0.027,0.116,1.33,7,19,74,0.3,1,2.95,100,0.463,0.232,5.77,0.027,0.116,1.33,7,19,74,0.3,1,1.8667,0.3858,0.1933,4.8083,0.0225,0.0967,1.2017,2,15,65,0.25,1,6,2
30,BRTLV,2.95,10,0.463,0.232,5.77,0.027,0.116,1.33,7,19,74,0.3,1,2.95,100,0.463,0.232,5.77,0.027,0.116,1.33,7,19,74,0.3,1,1.65,0.3473,0.174,4.3275,0.0203,0.087,1.0875,2,14,58,0.225,1,6,1
31,BRTSIL,2.95,10,0.501,0.284,4.98,0.015,0.135,1.33,7,19,74,0.38,1,2.95,100,0.501,0.284,4.98,0.015,0.135,1.33,7,19,74,0.38,1,1.8667,0.4175,0.2367,4.15,0.0125,0.1125,1.2017,2,15,65,0.3167,1,4,2
32,BRTSLC,9.48,10,0.453,0.19,4.5,0.041,0.085,1.36,40,14,46,0.13,1,9.48,100,0.453,0.19,4.5,0.041,0.085,1.36,40,14,46,0.13,1,7.496,0.3624,0.152,3.6,0.0328,0.068,1.148,25,10,43,0.104,1,3,2
33,BRYSIL,4.8,10,0.501,0.284,4.98,0.015,0.135,1.24,26,23,51,0.38,1,4.8,100,0.501,0.284,4.98,0.015,0.135,1.24,26,23,51,0.38,1,1.66,0.334,0.1893,3.32,0.01,0.09,1,15,16,34,0.2533,1,4,2
34,BSBSL,15.31,10,0.453,0.19,4.5,0.041,0.085,1.22,45,13,42,0.13,1,15.31,100,0.453,0.19,4.5,0.041,0.085,1.22,45,13,42,0.13,1,14.4217,0.3775,0.1583,3.75,0.0342,0.0708,1.185,42,9,31,0.1083,1,3,2
35,BUFL,11.57,10,0.463,0.232,5.77,0.027,0.116,1.26,35,12,53,0.3,1,11.57,100,0.463,0.232,5.77,0.027,0.116,1.26,35,12,53,0.3,1,8.768,0.3704,0.1856,4.616,0.0216,0.0928,1.164,41,15,23,0.24,1,6,1
36,BUFLQ,17.74,10,0.463,0.232,5.77,0.027,0.116,1.26,49,12,39,0.3,1,17.74,125,0.463,0.232,5.77,0.027,0.116,1.26,49,12,39,0.3,1,15.9,0.3704,0.1856,4.616,0.0216,0.0928,1.164,48,9,22,0.24,1,6,1
37,BUFSL,11.57,10,0.453,0.19,4.5,0.041,0.085,1.26,35,12,53,0.13,1,11.57,100,0.453,0.19,4.5,0.041,0.085,1.26,35,12,53,0.13,1,8.768,0.3624,0.152,3.6,0.0328,0.068,1.164,41,15,23,0.104,1,3,1
38,BVYLL,4.22,10,0.463,0.232,5.77,0.027,0.116,1.26,23,24,53,0.3,1,4.22,100,0.463,0.232,5.77,0.027,0.116,1.26,23,24,53,0.3,1,1.6525,0.3473,0.174,4.3275,0.0203,0.087,1.0875,6,32,36,0.225,1,6,3
39,BVYSICL,21.09,10,0.471,0.342,8.32,0.04,0.21,1.21,10,38,52,0.32,1,21.09,105,0.471,0.342,8.32,0.04,0.21,1.21,10,38,52,0.32,1,1.62,0.3533,0.2565,6.24,0.03,0.1575,1.0875,5,35,35,0.24,1,8,3
40,BVYSICLL,4.22,10,0.471,0.342,8.32,0.04,0.21,1.26,23,24,53,0.32,1,4.22,100,0.471,0.342,8.32,0.04,0.21,1.26,23,24,53,0.32,1,1.6525,0.3533,0.2565,6.24,0.03,0.1575,1.0875,6,32,36,0.24,1,8,3
41,BVYSICLSH,21.09,10,0.471,0.342,8.32,0.04,0.21,1.21,10,38,52,0.32,1,21.09,100,0.471,0.342,8.32,0.04,0.21,1.21,10,38,52,0.32,1,1.62,0.3533,0.2565,6.24,0.03,0.1575,1.0875,5,35,35,0.24,1,8,2
42,BVYSICLV,21.09,10,0.471,0.342,8.32,0.04,0.21,1.21,10,38,52,0.32,1,21.09,105,0.471,0.342,8.32,0.04,0.21,1.21,10,38,52,0.32,1,1.62,0.3533,0.2565,6.24,0.03,0.1575,1.0875,5,35,35,0.24,1,8,2
43,BVYSILL,4.22,10,0.501,0.284,4.98,0.015,0.135,1.26,23,24,53,0.38,1,4.22,100,0.501,0.284,4.98,0.015,0.135,1.26,23,24,53,0.38,1,1.6525,0.3758,0.213,3.735,0.0113,0.1013,1.0875,6,32,36,0.285,1,4,3
44,BVYSLC,25.09,10,0.453,0.19,4.5,0.041,0.085,1.21,66,13,21,0.13,1,25.09,100,0.453,0.19,4.5,0.041,0.085,1.21,66,13,21,0.13,1,6.5725,0.3398,0.1425,3.375,0.0308,0.0638,1.0875,22,25,27,0.0975,1,3,3
45,CADL,25.38,10,0.463,0.232,5.77,0.027,0.116,1.33,60,10,30,0.3,1,25.38,100,0.463,0.232,5.77,0.027,0.116,1.33,60,10,30,0.3,1,38.09,0.3858,0.1933,4.8083,0.0225,0.0967,1.2117,62,5,15,0.25,1,6,1
46,CADSICLF,25.38,10,0.471,0.342,8.32,0.04,0.21,1.33,40,20,40,0.32,1,25.38,100,0.471,0.342,8.32,0.04,0.21,1.33,40,20,40,0.32,1,38.09,0.3925,0.285,6.9333,0.0333,0.175,1.2117,59,7,16,0.2667,1,8,1
47,CADSL,25.38,10,0.453,0.19,4.5,0.041,0.085,1.33,60,10,30,0.13,1,25.38,100,0.453,0.19,4.5,0.041,0.085,1.33,60,10,30,0.13,1,38.09,0.3775,0.1583,3.75,0.0342,0.0708,1.2117,62,5,15,0.1083,1,3,1
48,CMBSIL,5.03,10,0.501,0.284,4.98,0.015,0.135,1.12,18,22,60,0.38,1,5.03,100,0.501,0.284,4.98,0.015,0.135,1.12,18,22,60,0.38,1,2.0267,0.334,0.1893,3.32,0.01,0.09,1.0267,17,15,34,0.2533,1,4,3
49,CMBSL,5.03,10,0.453,0.19,4.5,0.041,0.085,1.12,18,22,60,0.13,1,5.03,100,0.453,0.19,4.5,0.041,0.085,1.12,18,22,60,0.13,1,2.0267,0.302,0.1267,3,0.0273,0.0567,1.0267,17,15,34,0.0867,1,3,3
50,CMLSL,24.42,10,0.453,0.19,4.5,0.041,0.085,1.28,65,12,23,0.13,1,24.42,100,0.453,0.19,4.5,0.041,0.085,1.28,65,12,23,0.13,1,20.695,0.3398,0.1425,3.375,0.0308,0.0638,1.0875,54,8,12,0.0975,1,3,2
51,CWOL,0.6,10,0.463,0.232,5.77,0.027,0.116,0.88,23,22,55,0.3,1,0.6,100,0.463,0.232,5.77,0.027,0.116,0.88,23,22,55,0.3,1,0.42,0.3704,0.1856,4.616,0.0216,0.0928,1.188,26,13,39,0.24,1,6,3
52,CWOLO,0.6,10,0.463,0.232,5.77,0.027,0.116,0.88,23,22,55,0.3,1,0.6,100,0.463,0.232,5.77,0.027,0.116,0.88,23,22,55,0.3,1,0.42,0.3704,0.1856,4.616,0.0216,0.0928,1.188,26,13,39,0.24,1,6,3
53,CWOSIL,0.6,10,0.501,0.284,4.98,0.015,0.135,0.88,23,22,55,0.38,1,0.6,100,0.501,0.284,4.98,0.015,0.135,0.88,23,22,55,0.38,1,0.42,0.4008,0.2272,3.984,0.012,0.108,1.188,26,13,39,0.304,1,4,3
54,CWOSLC,41.79,10,0.453,0.19,4.5,0.041,0.085,1.38,66,6,28,0.13,1,41.79,100,0.453,0.19,4.5,0.041,0.085,1.38,66,6,28,0.13,1,20.825,0.3398,0.1425,3.375,0.0308,0.0638,1.0875,54,7,12,0.0975,1,3,3
55,DUFSIL,13.13,10,0.501,0.284,4.98,0.015,0.135,1.22,46,15,39,0.38,1,13.13,100,0.501,0.284,4.98,0.015,0.135,1.22,46,15,39,0.38,1,4.896,0.4008,0.2272,3.984,0.012,0.108,1.188,33,14,32,0.304,1,4,1
56,DYKSL,6.93,10,0.453,0.19,4.5,0.041,0.085,1.3,36,18,46,0.13,1,6.93,100,0.453,0.19,4.5,0.041,0.085,1.3,36,18,46,0.13,1,43.48,0.3398,0.1425,3.375,0.0308,0.0638,1.0875,60,2,11,0.0975,1,3,1
57,EBRSIL,8.94,10,0.501,0.284,4.98,0.015,0.135,1.27,36,15,49,0.38,1,8.94,100,0.501,0.284,4.98,0.015,0.135,1.27,36,15,49,0.38,1,8.065,0.3758,0.213,3.735,0.0113,0.1013,1.1725,40,10,24,0.285,1,4,3
58,EKFSIC,3.62,10,0.479,0.371,10.38,0.056,0.251,1.2,7,59,34,0.26,1,3.62,100,0.479,0.371,10.38,0.056,0.251,1.2,7,59,34,0.26,1,1.4625,0.3593,0.2783,7.785,0.042,0.1883,1.1125,2,53,19,0.195,1,11,4
59,FANSIL,3.42,10,0.501,0.284,4.98,0.015,0.135,1.46,21,16,63,0.38,1,3.42,100,0.501,0.284,4.98,0.015,0.135,1.46,21,16,63,0.38,1,6.1425,0.3758,0.213,3.735,0.0113,0.1013,1.0925,18,15,41,0.285,1,4,2
60,FMELS,45.62,10,0.437,0.105,3.86,0.035,0.047,1.2,79,9,12,0.04,1,45.62,100,0.437,0.105,3.86,0.035,0.047,1.2,79,9,12,0.04,1,39.0267,0.2913,0.07,2.5733,0.0233,0.0313,0.9867,59,2,5,0.0267,1,2,3
61,FOXLS,23.98,10,0.437,0.105,3.86,0.035,0.047,1.28,64,12,24,0.04,1,23.98,100,0.437,0.105,3.86,0.035,0.047,1.28,64,12,24,0.04,1,27.78,0.3278,0.0788,2.895,0.0263,0.0353,1.0675,58,6,10,0.03,1,2,1
62,FOXLSV,23.98,10,0.437,0.105,3.86,0.035,0.047,1.28,64,12,24,0.04,1,23.98,100,0.437,0.105,3.86,0.035,0.047,1.28,64,12,24,0.04,1,27.78,0.3278,0.0788,2.895,0.0263,0.0353,1.0675,58,6,10,0.03,1,2,1
63,FOXSL,23.98,10,0.453,0.19,4.5,0.041,0.085,1.28,64,12,24,0.13,1,23.98,100,0.453,0.19,4.5,0.041,0.085,1.28,64,12,24,0.13,1,27.78,0.3398,0.1425,3.375,0.0308,0.0638,1.0675,58,6,10,0.0975,1,3,1
64,FOXSLC,23.98,10,0.453,0.19,4.5,0.041,0.085,1.28,75,12,13,0.13,1,23.98,100,0.453,0.19,4.5,0.041,0.085,1.28,75,12,13,0.13,1,27.78,0.3398,0.1425,3.375,0.0308,0.0638,1.0675,60,5,9,0.0975,1,3,1
65,FOXSLU,61.64,10,0.453,0.19,4.5,0.041,0.085,1.37,86,5,9,0.13,1,61.64,100,0.453,0.19,4.5,0.041,0.085,1.37,86,5,9,0.13,1,56.22,0.3398,0.1425,3.375,0.0308,0.0638,1.0675,69,1,4,0.0975,1,3,1
66,FRMCL,19.69,10,0.464,0.31,8.32,0.075,0.187,1.1,44,12,44,0.3,1,19.69,100,0.464,0.31,8.32,0.075,0.187,1.1,44,12,44,0.3,1,16.6433,0.3093,0.2067,5.5467,0.05,0.1247,1,35,4,27,0.2,1,9,2
67,GFDSL,31.54,10,0.453,0.19,4.5,0.041,0.085,1.07,47,9,44,0.13,1,31.54,100,0.453,0.19,4.5,0.041,0.085,1.07,47,9,44,0.13,1,12.93,0.302,0.1267,3,0.0273,0.0567,0.88,36,8,22,0.0867,1,3,3
68,GNYLL,33.9,10,0.463,0.232,5.77,0.027,0.116,1.26,64,9,27,0.3,1,33.9,100,0.463,0.232,5.77,0.027,0.116,1.26,64,9,27,0.3,1,21.986,0.3704,0.1856,4.616,0.0216,0.0928,1.156,49,7,23,0.24,1,6,3
69,GNYLS,58.58,10,0.437,0.105,3.86,0.035,0.047,1.08,78,8,14,0.04,1,58.58,110,0.437,0.105,3.86,0.035,0.047,1.08,78,8,14,0.04,1,26.408,0.3496,0.084,3.088,0.028,0.0376,1.188,65,7,7,0.032,1,2,3
70,GNYORGO,34.55,10,0.464,0.31,8.32,0.075,0.187,0.1,78,8,14,0.3,1,34.55,110,0.464,0.31,8.32,0.075,0.187,0.1,78,8,14,0.3,1,31.77,0.3867,0.2583,6.9333,0.0625,0.1558,1.17,67,7,8,0.25,1,9,3
71,GNYSICL,58.58,10,0.471,0.342,8.32,0.04,0.21,1.08,78,8,14,0.32,1,58.58,110,0.471,0.342,8.32,0.04,0.21,1.08,78,8,14,0.32,1,26.408,0.3768,0.2736,6.656,0.032,0.168,1.188,65,7,7,0.256,1,8,3
72,GNYSL,58.58,10,0.453,0.19,4.5,0.041,0.085,1.08,78,8,14,0.13,1,58.58,110,0.453,0.19,4.5,0.041,0.085,1.08,78,8,14,0.13,1,26.408,0.3624,0.152,3.6,0.0328,0.068,1.188,65,7,7,0.104,1,3,3
73,GOBCL,3.89,10,0.464,0.31,8.32,0.075,0.187,1.23,19,29,52,0.3,1,3.89,100,0.464,0.31,8.32,0.075,0.187,1.23,19,29,52,0.3,1,1.2375,0.348,0.2325,6.24,0.0563,0.1403,1.1725,8,29,37,0.225,1,9,3
74,GOBL,3.89,10,0.463,0.232,5.77,0.027,0.116,1.23,19,29,52,0.3,1,3.89,100,0.463,0.232,5.77,0.027,0.116,1.23,19,29,52,0.3,1,1.2375,0.3473,0.174,4.3275,0.0203,0.087,1.1725,8,29,37,0.225,1,6,3
75,GOBLL,7.16,10,0.463,0.232,5.77,0.027,0.116,1.2,41,23,36,0.3,1,7.16,100,0.463,0.232,5.77,0.027,0.116,1.2,41,23,36,0.3,1,2.47,0.3473,0.174,4.3275,0.0203,0.087,1.0875,18,25,31,0.225,1,6,3
76,GOBLW,5.67,10,0.463,0.232,5.77,0.027,0.116,1.29,32,20,48,0.3,1,5.67,100,0.463,0.232,5.77,0.027,0.116,1.29,32,20,48,0.3,1,3.3575,0.3473,0.174,4.3275,0.0203,0.087,1.0875,20,21,33,0.225,1,6,3
77,GOBSLC,38.21,10,0.453,0.19,4.5,0.041,0.085,1.2,71,10,19,0.13,1,38.21,100,0.453,0.19,4.5,0.041,0.085,1.2,71,10,19,0.13,1,10.2775,0.3398,0.1425,3.375,0.0308,0.0638,1.0875,28,21,25,0.0975,1,3,3
78,GUPL,15.4,10,0.463,0.232,5.77,0.027,0.116,1.32,51,13,36,0.3,1,15.4,100,0.463,0.232,5.77,0.027,0.116,1.32,51,13,36,0.3,1,5.8467,0.3087,0.1547,3.8467,0.018,0.0773,1.0267,33,10,23,0.2,1,6,2
79,GUPSIL,15.4,10,0.501,0.284,4.98,0.015,0.135,1.32,51,13,36,0.38,1,15.4,100,0.501,0.284,4.98,0.015,0.135,1.32,51,13,36,0.38,1,5.8467,0.334,0.1893,3.32,0.01,0.09,1.0267,33,10,23,0.2533,1,4,2
80,GUPSLC,16.62,10,0.453,0.19,4.5,0.041,0.085,1.32,50,12,38,0.13,1,16.62,100,0.453,0.19,4.5,0.041,0.085,1.32,50,12,38,0.13,1,22.58,0.302,0.1267,3,0.0273,0.0567,1,44,4,18,0.0867,1,3,2
81,HBGSIL,5.47,10,0.501,0.284,4.98,0.015,0.135,1.17,15,13,72,0.38,1,5.47,100,0.501,0.284,4.98,0.015,0.135,1.17,15,13,72,0.38,1,3.0857,0.4294,0.2434,4.2686,0.0129,0.1157,1.2286,12,15,58,0.3257,1,4,3
82,HHGSL,33.57,10,0.453,0.19,4.5,0.041,0.085,1.32,69,9,22,0.13,1,33.57,100,0.453,0.19,4.5,0.041,0.085,1.32,69,9,22,0.13,1,27.772,0.3624,0.152,3.6,0.0328,0.068,1.148,58,6,14,0.104,1,3,2
83,HIGSL,44.85,10,0.453,0.19,4.5,0.041,0.085,1.34,77,7,16,0.13,1,44.85,108,0.453,0.19,4.5,0.041,0.085,1.34,77,7,16,0.13,1,36.3633,0.3775,0.1583,3.75,0.0342,0.0708,1.2217,61,4,17,0.1083,1,3,2
84,HIMSIC,3.31,10,0.479,0.371,10.38,0.056,0.251,1.26,9,31,60,0.26,1,3.31,105,0.479,0.371,10.38,0.056,0.251,1.26,9,31,60,0.26,1,1.755,0.3992,0.3092,8.65,0.0467,0.2092,1.2117,1,53,27,0.2167,1,11,3
85,HIMSICLL,5.67,10,0.471,0.342,8.32,0.04,0.21,0.99,16,28,56,0.32,1,5.67,100,0.471,0.342,8.32,0.04,0.21,0.99,16,28,56,0.32,1,1.622,0.3768,0.2736,6.656,0.032,0.168,1.188,6,42,31,0.256,1,8,3
86,HIMSLC,3.31,10,0.453,0.19,4.5,0.041,0.085,1.26,60,10,30,0.13,1,3.31,105,0.453,0.19,4.5,0.041,0.085,1.26,60,10,30,0.13,1,1.755,0.3775,0.1583,3.75,0.0342,0.0708,1.2117,10,48,24,0.1083,1,3,3
87,HUOCL,3.79,10,0.464,0.31,8.32,0.075,0.187,1.25,18,27,55,0.3,1,3.79,100,0.464,0.31,8.32,0.075,0.187,1.25,18,27,55,0.3,1,1.515,0.348,0.2325,6.24,0.0563,0.1403,1.1225,12,30,32,0.225,1,9,3
88,HUOSIL,3.79,10,0.501,0.284,4.98,0.015,0.135,1.25,18,27,55,0.38,1,3.79,100,0.501,0.284,4.98,0.015,0.135,1.25,18,27,55,0.38,1,1.515,0.3758,0.213,3.735,0.0113,0.1013,1.1225,12,30,32,0.285,1,4,3
89,HYWSIL,5.56,10,0.501,0.284,4.98,0.015,0.135,1.28,26,17,57,0.38,1,5.56,110,0.501,0.284,4.98,0.015,0.135,1.28,26,17,57,0.38,1,2.8367,0.334,0.1893,3.32,0.01,0.09,1.0267,20,15,30,0.2533,1,4,2
90,KTYSL,32.59,10,0.453,0.19,4.5,0.041,0.085,1.32,67,9,24,0.13,1,32.59,100,0.453,0.19,4.5,0.041,0.085,1.32,67,9,24,0.13,1,30.12,0.3398,0.1425,3.375,0.0308,0.0638,1.0875,58,6,10,0.0975,1,3,1
91,KVNCL,3.53,10,0.464,0.31,8.32,0.075,0.187,1.3,27,37,36,0.3,1,3.53,100,0.464,0.31,8.32,0.075,0.187,1.3,27,37,36,0.3,1,1.375,0.348,0.2325,6.24,0.0563,0.1403,1.1375,8,38,28,0.225,1,9,4
92,KVNCLO,34.55,10,0.464,0.31,8.32,0.075,0.187,0.1,34,30,36,0.3,1,34.55,100,0.464,0.31,8.32,0.075,0.187,0.1,34,30,36,0.3,1,3.956,0.3712,0.248,6.656,0.06,0.1496,1.124,24,21,34,0.24,1,9,4
93,KVNLL,6.15,10,0.463,0.232,5.77,0.027,0.116,1.3,41,23,36,0.3,1,6.15,100,0.463,0.232,5.77,0.027,0.116,1.3,41,23,36,0.3,1,1.5067,0.3087,0.1547,3.8467,0.018,0.0773,1.0267,17,23,25,0.2,1,6,4
94,KVNLO,34.55,10,0.463,0.232,5.77,0.027,0.116,0.1,34,30,36,0.3,1,34.55,100,0.463,0.232,5.77,0.027,0.116,0.1,34,30,36,0.3,1,3.956,0.3704,0.1856,4.616,0.0216,0.0928,1.124,24,21,34,0.24,1,6,4
95,KVNSICL,3.53,10,0.471,0.342,8.32,0.04,0.21,1.3,27,37,36,0.32,1,3.53,100,0.471,0.342,8.32,0.04,0.21,1.3,27,37,36,0.32,1,1.375,0.3533,0.2565,6.24,0.03,0.1575,1.1375,8,38,28,0.24,1,8,4
