xmin	xmax	cross	max	min	tag
140	150	     5.84217	     6.74843	     5.14225	N3LLp-ptg
150	175	     3.75815	     4.33251	     3.31083	N3LLp-ptg
175	200	     2.08036	     2.38709	     1.83776	N3LLp-ptg
200	225	     1.20854	     1.37673	     1.07223	N3LLp-ptg
225	250	    0.714782	    0.814936	    0.633569	N3LLp-ptg
250	300	    0.375333	    0.427019	    0.332589	N3LLp-ptg
300	400	    0.121975	    0.137011	    0.108841	N3LLp-ptg
400	750	   0.0118742	   0.0132916	   0.0105743	N3LLp-ptg
0	4	     142.087	     233.097	    -5.57733	N3LL-ptg-hybrid
4	8	     493.906	     534.159	     453.885	N3LL-ptg-hybrid
8	12	     604.288	     681.764	     546.108	N3LL-ptg-hybrid
12	16	     537.732	     633.792	     468.685	N3LL-ptg-hybrid
16	20	     386.076	     449.512	     340.009	N3LL-ptg-hybrid
20	25	     289.999	     335.658	     256.442	N3LL-ptg-hybrid
25	30	     218.828	     253.043	      193.43	N3LL-ptg-hybrid
30	35	     171.103	      197.57	     151.344	N3LL-ptg-hybrid
35	40	      137.62	      158.89	     121.707	N3LL-ptg-hybrid
40	45	     113.131	     130.485	     100.136	N3LL-ptg-hybrid
45	50	     93.9924	     108.665	     82.9981	N3LL-ptg-hybrid
50	55	      82.417	     94.6112	     73.2705	N3LL-ptg-hybrid
55	60	     71.0708	     82.1857	     62.7497	N3LL-ptg-hybrid
60	65	     64.4984	      74.628	     56.9077	N3LL-ptg-hybrid
65	70	     58.0407	      67.351	      51.094	N3LL-ptg-hybrid
70	75	     54.9812	     63.9266	     48.3363	N3LL-ptg-hybrid
75	80	     49.9164	     58.0281	     43.8621	N3LL-ptg-hybrid
80	90	     40.7578	     47.6287	     35.6352	N3LL-ptg-hybrid
90	100	     29.5284	      34.304	     25.9443	N3LL-ptg-hybrid
100	110	     20.9045	     24.3043	     18.3487	N3LL-ptg-hybrid
110	120	     14.9071	     17.2926	     13.1059	N3LL-ptg-hybrid
120	130	     10.9685	     12.8239	     9.56575	N3LL-ptg-hybrid
130	140	     8.37395	     9.70468	     7.36553	N3LL-ptg-hybrid
140	150	     6.19247	     7.19841	     5.42539	N3LL-ptg-hybrid
150	175	      4.0605	     4.69556	      3.5723	N3LL-ptg-hybrid
175	200	     2.22165	     2.57911	     1.94427	N3LL-ptg-hybrid
200	225	     1.27656	     1.46811	     1.12567	N3LL-ptg-hybrid
225	250	    0.747532	     0.85887	    0.657623	N3LL-ptg-hybrid
250	300	     0.39554	    0.453215	    0.348635	N3LL-ptg-hybrid
300	400	    0.118274	    0.134569	    0.104299	N3LL-ptg-hybrid
400	750	   0.0123767	    0.013912	   0.0110066	N3LL-ptg-hybrid
